payment_method_id,customer_id,payment_method,is_default,is_active
1,591,americanexpress,,true
2,703,solo,,false
3,519,jcb,,
4,80,visa-electron,,
5,263,visa,,
6,199,diners-club-enroute,,
7,120,china-unionpay,,
8,58,switch,,false
9,849,jcb,,false
10,367,jcb,,false
11,440,mastercard,,
12,893,maestro,,
13,74,mastercard,,true
14,626,jcb,,
15,876,diners-club-carte-blanche,,
16,766,china-unionpay,,
17,903,solo,,false
18,213,solo,,false
19,654,mastercard,,
20,807,jcb,,false
21,959,china-unionpay,,
22,238,americanexpress,true,true
23,901,jcb,,true
24,637,visa-electron,,
25,929,jcb,,
26,711,switch,,true
27,749,jcb,,true
28,356,jcb,,
29,797,jcb,,
30,22,visa-electron,,
31,116,diners-club-enroute,,
32,302,jcb,,
33,97,mastercard,,false
34,241,mastercard,,true
35,819,jcb,,
36,978,jcb,,true
37,879,jcb,,
38,636,jcb,,false
39,822,visa,,true
40,520,bankcard,,
41,395,jcb,,
42,852,bankcard,,
43,553,jcb,,
44,940,visa,,false
45,64,jcb,,false
46,529,jcb,,false
47,735,laser,,
48,72,visa-electron,,
49,397,jcb,,false
50,78,americanexpress,,false
51,285,jcb,,
52,83,instapayment,,true
53,13,jcb,,
54,157,visa,,true
55,341,jcb,,
56,40,jcb,,
57,15,bankcard,,true
58,461,jcb,,false
59,924,maestro,,
60,967,mastercard,,
61,655,bankcard,,
62,486,diners-club-carte-blanche,,true
63,644,maestro,,
64,312,mastercard,,true
65,384,mastercard,,false
66,698,jcb,,
67,837,jcb,,
68,123,diners-club-us-ca,,true
69,232,jcb,,
70,997,mastercard,,true
71,489,jcb,,true
72,913,diners-club-enroute,,
73,134,switch,,
74,124,china-unionpay,,false
75,593,china-unionpay,,true
76,759,americanexpress,,true
77,24,diners-club-us-ca,,
78,607,bankcard,,false
79,469,maestro,,
80,358,jcb,,false
81,337,jcb,,false
82,419,jcb,,
83,93,jcb,,
84,475,mastercard,,
85,529,diners-club-carte-blanche,,
86,507,mastercard,,
87,661,instapayment,,
88,918,diners-club-carte-blanche,,
89,751,switch,,
90,522,jcb,,
91,923,jcb,,false
92,114,jcb,,
93,802,jcb,,true
94,639,jcb,,
95,971,bankcard,,
96,973,jcb,,true
97,532,solo,,false
98,459,maestro,,true
99,159,jcb,,true
100,246,americanexpress,,true
101,297,jcb,,true
102,213,jcb,,true
103,314,jcb,,
104,393,mastercard,,
105,808,jcb,,
106,386,maestro,,false
107,348,diners-club-enroute,,
108,576,mastercard,,
109,328,jcb,,false
110,398,maestro,,false
111,792,instapayment,,
112,113,china-unionpay,,true
113,335,visa,,true
114,737,diners-club-us-ca,,false
115,114,visa-electron,,false
116,751,mastercard,,false
117,289,jcb,,true
118,61,laser,,false
119,63,jcb,,
120,508,maestro,,false
121,505,visa,,
122,881,visa,,true
123,206,jcb,,
124,995,jcb,,false
125,564,laser,,
126,621,jcb,,false
127,921,jcb,,
128,956,maestro,,
129,472,visa-electron,,
130,416,jcb,,
131,438,switch,,true
132,169,jcb,,true
133,60,americanexpress,,true
134,477,mastercard,,
135,800,jcb,,
136,691,maestro,,
137,716,diners-club-carte-blanche,,
138,848,jcb,,false
139,936,switch,,
140,286,diners-club-us-ca,,true
141,117,jcb,,
142,769,instapayment,,false
